,eff1_kw,eff1_gp,eff2_kw,eff2_gp,eff3_gamma,eff4_gamma
sqft_lot,1.995550822,1.999414512,1.314208969,0.459718408,0.053235474,14.72215075
long,1.804554004,1.999453147,1.865441357,1.994575884,0.039758044,0.088472562
sqft_lot15,1.997861922,1.994744974,1.695591881,0.023550301,0.12915961,13.3187668
