"","cpdp","xswcpdp","xcwcpdp","xcwccpdp","xswccpdp","pdp","ale","grid","NA"
"1",0.943525543685233,0.959619299293064,0.958477887320614,0.937760742652589,0.949513985399378,0.965718528128534,0.972180604153323,-0.999133840203285,0
"2",0.847807723705965,0.863124505569224,0.866297654511757,0.84690618451134,0.863207240287303,0.870000708149267,0.876391251884094,-0.962953110970557,0
"3",0.760993808434204,0.775585227812933,0.783186295599802,0.763764067089985,0.786000276670579,0.783186792877504,0.78982409487014,-0.929681871756911,0
"4",0.66058333835382,0.674311495406088,0.682828674154619,0.660047627769892,0.681301955582435,0.682776322797121,0.687601854683449,-0.89048547854647,0
"5",0.555730882972535,0.568529696597357,0.589557373218508,0.559856525275106,0.593723267363829,0.577923867415833,0.581186859072275,-0.848502157889306,0
"6",0.472006255860092,0.4840420779475,0.49921152988268,0.474787816042502,0.500019912412534,0.494199240303391,0.496872538225547,-0.814005983294919,0
"7",0.379499556826572,0.390669722454042,0.421954973272408,0.378496432479202,0.420452549249026,0.401692541269871,0.402565677272606,-0.774645029269159,0
"8",0.285083650017269,0.295343886694539,0.303462112648031,0.28440381824656,0.301835870278566,0.307276634460569,0.305689370353047,-0.732810370037332,0
"9",0.215025268982952,0.224591312259491,0.237134208908215,0.21463316629666,0.235247430402929,0.237218253426254,0.235552317157982,-0.700442983843386,0
"10",0.135588542027979,0.144345453352611,0.15271014680727,0.138806237788735,0.155628819887015,0.157781526471279,0.154812285938565,-0.662077016104013,0
"11",0.0683973415669135,0.0764492459726172,0.0866014633679239,0.0694761072040815,0.0855439146979425,0.0905903260102139,0.0866036745559141,-0.627958926092833,0
"12",-0.0106351301643452,-0.00344029248189451,0.00720686991768931,-0.00701913151105094,0.00871776256216076,0.0115578542789552,0.00629124511201962,-0.585416630897671,0
"13",-0.0785902700955064,-0.0721601630565988,-0.0694894188219451,-0.0798261511139259,-0.0689637647896003,-0.0563972856522062,-0.0618899125410597,-0.546243386883289,0
"14",-0.156312875528475,-0.150794516230712,-0.144507133296546,-0.154433589371402,-0.14312034215644,-0.134119891085175,-0.140537901695739,-0.49763584333472,0
"15",-0.218614849595415,-0.213860991254542,-0.217085110045958,-0.219088600209835,-0.218125749905799,-0.196421865152116,-0.20362160398094,-0.454818404167891,0
"16",-0.27266900254402,-0.268607082258118,-0.270905067355015,-0.274533579940374,-0.272463018851265,-0.25047601810072,-0.256956179746621,-0.413928407477215,0
"17",-0.325580629329928,-0.322226439519316,-0.316876704993219,-0.327081211197706,-0.317310130675183,-0.303387644886627,-0.310218485308928,-0.36929481074214,0
"18",-0.368042784071636,-0.365282452554481,-0.359132158384169,-0.368145255770431,-0.359270286474865,-0.345849799628337,-0.353116789180943,-0.328850879054516,0
"19",-0.399450122477229,-0.397146861870607,-0.392324857076964,-0.399750439793762,-0.393364143642534,-0.377257138033928,-0.384529855105111,-0.295164198391139,0
"20",-0.434746785576518,-0.432979557773508,-0.427806115376692,-0.43480282314602,-0.428670127922812,-0.412553801133218,-0.420588985720276,-0.251627892078832,0
"21",-0.461881771804593,-0.460547493699781,-0.457524327113896,-0.464264830503035,-0.460689061838243,-0.439688787361292,-0.4477313907538,-0.21175528941676,0
"22",-0.481212524937405,-0.480202155570648,-0.480645570066396,-0.481452360591088,-0.479834818793763,-0.459019540494105,-0.467226102384848,-0.177608139934018,0
"23",-0.499983588420205,-0.499307026269266,-0.498486093396439,-0.499977773658783,-0.498594208863735,-0.477790603976907,-0.486429001882972,-0.135888394378126,0
"24",-0.513805415167653,-0.513398089639218,-0.515092569960165,-0.512107755534223,-0.513399136905249,-0.491612430724352,-0.500209281165844,-0.0928882206510753,0
"25",-0.521537562754257,-0.521305886295028,-0.519017737813597,-0.522739346739648,-0.520680079675684,-0.499344578310957,-0.508074190998184,-0.0538642229698598,0
"26",-0.524808326632453,-0.52469370154513,-0.523952657878335,-0.525206899196343,-0.524082540243536,-0.502615342189153,-0.511781382452789,-0.00956879579462111,0
"27",-0.52196413715271,-0.521874918155191,-0.522039869197931,-0.520001208441911,-0.519465199328321,-0.499771152709411,-0.509345445115444,0.0370483550615609,0
"28",-0.512919875755405,-0.512755114484094,-0.511380670545674,-0.513246019677955,-0.511698115227409,-0.490726891312104,-0.500665207603471,0.0828238922264427,0
"29",-0.500077383996439,-0.499764795710348,-0.498777071166707,-0.499398196654235,-0.498328381245035,-0.477884399553138,-0.487402216230635,0.12249002514407,0
"30",-0.483065779250679,-0.482534131588767,-0.484130170336439,-0.484127109253578,-0.485018773557621,-0.460872794807379,-0.469694845301591,0.161182771977037,0
"31",-0.463977425621836,-0.463185091877072,-0.462073762645322,-0.46211433881646,-0.46084035101068,-0.441784441178537,-0.450129237944012,0.195972962398082,0
"32",-0.44085307420552,-0.439733295474983,-0.438131423115199,-0.439976741963004,-0.43778175266925,-0.418660089762218,-0.426741374657557,0.231372938668355,0
"33",-0.41013167017724,-0.408565403668059,-0.405807559357656,-0.410925078277839,-0.407066138615644,-0.38793868573394,-0.395270664088818,0.271465548593551,0
"34",-0.377193712248994,-0.375140371109307,-0.380564082517031,-0.378271918158328,-0.382485285579908,-0.355000727805694,-0.36231454840528,0.308776409411803,0
"35",-0.343139817463233,-0.340577984305641,-0.338941142973726,-0.343442484162115,-0.338720766434683,-0.320946833019933,-0.327482526773918,0.343130267560482,0
"36",-0.288477288858266,-0.285095275049969,-0.283047311975797,-0.290710917624749,-0.285565268042933,-0.266284304414965,-0.271664156226266,0.392029346525669,0
