"","cpdp","xsxcpdp","cxsxcpdp","pdp","ale","grid","NA"
"1",0.943525543685233,0.943322384192209,1.0133016036689,0.965718528128534,0.972180604153323,-0.999133840203285,0
"2",0.847807723705965,0.847748208669859,0.898852018508075,0.870000708149267,0.876391251884094,-0.962953110970557,0
"3",0.760993808434204,0.760934754672016,0.78405584201118,0.783186792877504,0.78982409487014,-0.929681871756911,0
"4",0.66058333835382,0.660286594453101,0.665508591074868,0.682776322797121,0.687601854683449,-0.89048547854647,0
"5",0.555730882972535,0.555732055056696,0.555257681149733,0.577923867415833,0.581186859072275,-0.848502157889306,0
"6",0.472006255860092,0.472121187027336,0.437891128737188,0.494199240303391,0.496872538225547,-0.814005983294919,0
"7",0.379499556826572,0.379582990748317,0.448356145279433,0.401692541269871,0.402565677272606,-0.774645029269159,0
"8",0.285083650017269,0.285204369012529,0.231417212844541,0.307276634460569,0.305689370353047,-0.732810370037332,0
"9",0.215025268982952,0.215296154369465,0.153853655537169,0.237218253426254,0.235552317157982,-0.700442983843386,0
"10",0.135588542027979,0.135320095150365,0.129907530802641,0.157781526471279,0.154812285938565,-0.662077016104013,0
"11",0.0683973415669135,0.0681067153858925,0.025938121206758,0.0905903260102139,0.0866036745559141,-0.627958926092833,0
"12",-0.0106351301643452,-0.0105424312253006,0.111378111996796,0.0115578542789552,0.00629124511201962,-0.585416630897671,0
"13",-0.0785902700955064,-0.078792011158951,-0.120439928802538,-0.0563972856522062,-0.0618899125410597,-0.546243386883289,0
"14",-0.156312875528475,-0.156257529699271,-0.0887499456708501,-0.134119891085175,-0.140537901695739,-0.49763584333472,0
"15",-0.218614849595415,-0.218721550140815,-0.28967882782532,-0.196421865152116,-0.20362160398094,-0.454818404167891,0
"16",-0.27266900254402,-0.272787921747197,-0.363564550520546,-0.25047601810072,-0.256956179746621,-0.413928407477215,0
"17",-0.325580629329928,-0.325571566322142,-0.326177654968675,-0.303387644886627,-0.310218485308928,-0.36929481074214,0
"18",-0.368042784071636,-0.36792548404385,-0.285347352566662,-0.345849799628337,-0.353116789180943,-0.328850879054516,0
"19",-0.399450122477229,-0.399538857897553,-0.426960316611165,-0.377257138033928,-0.384529855105111,-0.295164198391139,0
"20",-0.434746785576518,-0.434725894025345,-0.549499449735417,-0.412553801133218,-0.420588985720276,-0.251627892078832,0
"21",-0.461881771804593,-0.462159716245209,-0.440067737375929,-0.439688787361292,-0.4477313907538,-0.21175528941676,0
"22",-0.481212524937405,-0.481149393919529,-0.356901005892718,-0.459019540494105,-0.467226102384848,-0.177608139934018,0
"23",-0.499983588420205,-0.499726604774253,-0.636325607244618,-0.477790603976907,-0.486429001882972,-0.135888394378126,0
"24",-0.513805415167653,-0.513515167415931,-0.499118096897419,-0.491612430724352,-0.500209281165844,-0.0928882206510753,0
"25",-0.521537562754257,-0.521358324216098,-0.49530789012037,-0.499344578310957,-0.508074190998184,-0.0538642229698598,0
"26",-0.524808326632453,-0.524869257623937,-0.591776045997113,-0.502615342189153,-0.511781382452789,-0.00956879579462111,0
"27",-0.52196413715271,-0.52168496227611,-0.49486071163939,-0.499771152709411,-0.509345445115444,0.0370483550615609,0
"28",-0.512919875755405,-0.512705135304782,-0.589326127673177,-0.490726891312104,-0.500665207603471,0.0828238922264427,0
"29",-0.500077383996439,-0.500044935823038,-0.464834810283079,-0.477884399553138,-0.487402216230635,0.12249002514407,0
"30",-0.483065779250679,-0.48308313637694,-0.590629007014827,-0.460872794807379,-0.469694845301591,0.161182771977037,0
"31",-0.463977425621836,-0.463922702859502,-0.326871637796191,-0.441784441178537,-0.450129237944012,0.195972962398082,0
"32",-0.44085307420552,-0.440898317896939,-0.384335038958513,-0.418660089762218,-0.426741374657557,0.231372938668355,0
"33",-0.41013167017724,-0.41000656473311,-0.281072565432239,-0.38793868573394,-0.395270664088818,0.271465548593551,0
"34",-0.377193712248994,-0.377078206880768,-0.33070773638875,-0.355000727805694,-0.36231454840528,0.308776409411803,0
"35",-0.343139817463233,-0.343268466628687,-0.457395845427513,-0.320946833019933,-0.327482526773918,0.343130267560482,0
"36",-0.288477288858266,-0.28847611263266,-0.286576188153369,-0.266284304414965,-0.271664156226266,0.392029346525669,0
"37",-0.243524091766871,-0.243599233448085,-0.352513985580812,-0.221331107323571,-0.226073388382718,0.428067936487496,0
"38",-0.189483293367134,-0.189686057417088,-0.189429570558006,-0.167290308923834,-0.171794244900869,0.46772429484874,0
"39",-0.130908162675197,-0.130904529724777,-0.222463165998473,-0.108715178231897,-0.112248271327752,0.50722632875666,0
"40",-0.064968544166457,-0.0650043279467621,-0.15018935949142,-0.0427755597231567,-0.0457361673610637,0.548336972091347,0
"41",-0.00194113438015781,-0.00186149918990468,0.00608793278236276,0.0202518500631426,0.0176877396027955,0.585002951696515,0
"42",0.0799395380894866,0.0799039434836887,0.191735732583934,0.102132522532787,0.100819948707198,0.629596142061055,0
"43",0.161837563151074,0.16205353562874,0.239009532613071,0.184030547594374,0.184058405736839,0.67145371183753,0
"44",0.241964957875351,0.241906538519844,0.202406820568675,0.264157942318652,0.264937702672105,0.71027912360616,0
"45",0.348277597106325,0.348203819650563,0.256906003533288,0.370470581549625,0.371964901463822,0.759200265724212,0
"46",0.434027210845543,0.43401424108766,0.534342030422376,0.456220195288844,0.457734215305478,0.796926297061145,0
"47",0.537058425124571,0.537037330233911,0.606801906759505,0.559251409567868,0.561833931037419,0.840627923682332,0
"48",0.618754045285134,0.618695287098043,0.544596599743335,0.640947029728433,0.645412216085352,0.874254865134134,0
"49",0.721812970282589,0.721992158403336,0.751011397364062,0.744005954725889,0.74921970792265,0.915644613280892,0
"50",0.835719280822362,0.835612691445995,0.833328777379999,0.857912265265664,0.864438106869529,0.960347583759576,0
"51",0.936863529169809,0.936790845304965,0.969175784057206,0.959056513613111,0.963770021263933,0.999359580222517,0
"52",0.966124566806452,0.965866975318379,0.878372812685259,0.975305566467956,0.987052782209275,-0.999491375871003,0
"53",0.866670231144226,0.866413147971151,0.88796993874328,0.875851230805733,0.890420400562429,-0.955786958672106,0
"54",0.76573151280842,0.7656784976492,0.669651518542129,0.774912512469928,0.790585614367467,-0.915836609639227,0
"55",0.659643902335277,0.659574048680252,0.81623401944857,0.668824901996781,0.684608864389233,-0.875921092228964,0
"56",0.545228004668815,0.545136901804685,0.462004538748352,0.554409004330321,0.569610940224214,-0.833076200038195,0
"57",0.447885803792989,0.447853253946453,0.427950073077945,0.457066803454495,0.470659561698345,-0.795416981587187,0
"58",0.351578456169506,0.351561136611868,0.335940359441977,0.360759455831011,0.373521262099725,-0.756038547120988,0
"59",0.261627059026524,0.261440074840608,0.298912656030691,0.270808058688029,0.282475941509522,-0.716637763725594,0
"60",0.181820288524622,0.181714212562628,0.0673460368210841,0.191001288186127,0.202130299776016,-0.679136682637036,0
"61",0.100078036267875,0.100279232977069,0.104589358029169,0.109259035929379,0.119935419883106,-0.637965914402157,0
"62",0.0292643765923748,0.0289559308594157,0.106834794375264,0.0384453762538797,0.0481814481391369,-0.599862207006663,0
"63",-0.0286918751685475,-0.0287133227076504,-0.0128614002032494,-0.0195108755070426,-0.0106599044884379,-0.566844182061031,0
"64",-0.10066112850402,-0.100894626375119,-0.0816079433679548,-0.0914801288425149,-0.0834567925348663,-0.523230829834938,0
"65",-0.16222610834673,-0.16215751771154,-0.194427936730578,-0.153045108685225,-0.145782305258031,-0.483156109033152,0
"66",-0.227715156291637,-0.227427013057641,-0.177376634984633,-0.218534156630132,-0.211691374070765,-0.436870909910649,0
"67",-0.275421220766585,-0.275616047816455,-0.174511189754724,-0.26624022110508,-0.260047092958065,-0.399952077260241,0
"68",-0.320859960629837,-0.320888458134835,-0.318077661594412,-0.311678960968331,-0.305949268524913,-0.361285750828683,0
"69",-0.36279807695378,-0.362719487535765,-0.464220484823201,-0.353617077292273,-0.348603062604731,-0.321293681198731,0
"70",-0.392740186747708,-0.392697174296051,-0.416363767269315,-0.383559187086203,-0.378711065476639,-0.28908350225538,0
"71",-0.42044498068645,-0.42032541720811,-0.406022263227062,-0.411263981024945,-0.406671101862372,-0.255267399549484,0
"72",-0.449039388270514,-0.449072205753491,-0.523061238570643,-0.439858388609009,-0.435650837960678,-0.214045286457985,0
"73",-0.472259720169158,-0.472277434171744,-0.520783462087438,-0.463078720507653,-0.459050848849109,-0.172277661943808,0
"74",-0.488671902238435,-0.488590802089767,-0.618699044726953,-0.47949090257693,-0.475912447240359,-0.13366090638563,0
"75",-0.50032710495737,-0.50051212112935,-0.529355492032184,-0.491146105295864,-0.487817748272198,-0.0951297182869166,0
"76",-0.507399552331403,-0.507245253994234,-0.436738668159288,-0.498218552669898,-0.49485285908339,-0.0566146290674806,0
"77",-0.510056968784354,-0.510177151131694,-0.454911216444559,-0.500875969122849,-0.497835656673559,-0.0141304123681039,0
"78",-0.507847951300985,-0.507803002887308,-0.576419527461683,-0.498666951639481,-0.495240577095457,0.0252409682422876,0
"79",-0.500549446648346,-0.500592169837865,-0.42825930159572,-0.491368446986841,-0.487504588111363,0.0677782843820751,0
"80",-0.490482514053454,-0.49030599236572,-0.574144673554812,-0.481301514391949,-0.477017219099011,0.103734601121396,0
