"","cpdp","xsxcpdp","cxsxcpdp","pdp","ale","grid","NA"
"1",-1.0049010549378,-1.00501041962754,-0.949588254198936,-0.989121502710162,-1.00490844531288,-0.999522206839174,0
"2",-0.965604169564665,-0.965688393601932,-0.982837041009026,-0.949824617337025,-0.965743177790868,-0.959082946917042,0
"3",-0.931197701494167,-0.931153413872239,-0.961120521617452,-0.915418149266533,-0.931203358035379,-0.923842648845166,0
"4",-0.889175497639482,-0.889188648923783,-0.94331742648017,-0.873395945411845,-0.889395548484483,-0.880995602970943,0
"5",-0.845477341578487,-0.845539098860979,-0.928167252312306,-0.829697789350851,-0.846162309175622,-0.836645287163556,0
"6",-0.807437717085208,-0.807466780129468,-0.740668328939393,-0.791658164857575,-0.807771782781192,-0.798191840294749,0
"7",-0.769886977405142,-0.769989782659981,-0.856482911530621,-0.754107425177505,-0.770284541606234,-0.760358765423298,0
"8",-0.734354814023463,-0.734347477812925,-0.731893231246879,-0.718575261795828,-0.73444352750448,-0.724663019552827,0
"9",-0.702947671427323,-0.702940068473406,-0.670185690759138,-0.687168119199688,-0.703119453247416,-0.693186371773481,0
"10",-0.663504889645515,-0.663515964214705,-0.609305531659348,-0.647725337417879,-0.663471480607486,-0.653744608489797,0
"11",-0.624707750025218,-0.624724194363747,-0.626630006394572,-0.608928197797582,-0.624620412569507,-0.615031952876598,0
"12",-0.579123081203606,-0.579248089505625,-0.570436920835797,-0.563343528975971,-0.578706382392926,-0.56963524681516,0
"13",-0.52820016094687,-0.52826143357733,-0.600803591795498,-0.512420608719233,-0.527938306343562,-0.519012950137258,0
"14",-0.48338392568022,-0.483428031336889,-0.357486160219767,-0.467604373452586,-0.483416386552104,-0.474520914591849,0
"15",-0.445629747111627,-0.445716280529509,-0.31230180225957,-0.42985019488399,-0.445845809886047,-0.43707059495151,0
"16",-0.40850835559945,-0.40851454544003,-0.383436728783053,-0.392728803371814,-0.408823294580335,-0.400265964400023,0
"17",-0.368065498269747,-0.368071917506447,-0.310984402129722,-0.352285946042112,-0.368520106897627,-0.36017893621698,0
"18",-0.327742328366019,-0.327709068903691,-0.415252112130767,-0.311962776138383,-0.328133232977185,-0.320212203068659,0
"19",-0.282060128551213,-0.282040567382134,-0.227264695975863,-0.266280576323577,-0.282293805244817,-0.274924537036568,0
"20",-0.235278619338522,-0.235210552784361,-0.369243247160267,-0.219499067110886,-0.235403406024164,-0.228525083474815,0
"21",-0.198748034262097,-0.198813691817002,-0.221800706003857,-0.182968482034462,-0.198708477716947,-0.192270259745419,0
"22",-0.153237928382287,-0.153311755531067,-0.0542595951187264,-0.137458376154652,-0.153047596530864,-0.147068557664752,0
"23",-0.111970676614798,-0.111882470065501,-0.0681276390154186,-0.0961911243871631,-0.111817677863374,-0.106041676532477,0
"24",-0.072518677718956,-0.0725887987407265,-0.13836508581593,-0.0567391254913206,-0.0725538992180259,-0.0667806700803339,0
"25",-0.0329972103473326,-0.0328369984224289,-0.160755298006499,-0.0172176581196972,-0.0329218721248017,-0.0274101257883012,0
"26",0.00449839222848275,0.00458667121027718,0.0603373491252367,0.0202779444561182,0.00451655873643797,0.0099806587677449,0
"27",0.0461526452118581,0.0461220342380497,0.0544194314907965,0.0619321974394934,0.046108874836386,0.0515620020404458,0
"28",0.0838053200414253,0.083751609904838,-0.0148095608708084,0.0995848722690608,0.0836646069523623,0.0891866481024772,0
"29",0.124318543876866,0.124208789882993,0.180067955868883,0.140098096104501,0.124376883445878,0.129706710241735,0
