"","cpdp","xswcpdp","xswccpdp","xcwcpdp","xcwccpdp","pdp","ale","grid","NA"
"1",-1.08457239423518,-1.13269157629525,-1.41627791728207,-1.09785343840022,-1.41603620338188,-1.26155408508215,-1.79174169493026,-1.26367186856675,0
"2",-0.761559857500632,-0.720252074775047,-0.492489570682111,-0.739827872823093,-0.507991653611873,-0.938541548347595,-1.32482254393455,-1.00597254835817,0
"3",-0.685214211984647,-0.618442378452193,-0.470453190180459,-0.652572487944454,-0.467555951326862,-0.86219590283161,-1.19734839360096,-0.940332409482866,0
"4",-0.627482777005027,-0.541036841905588,-0.433573412177732,-0.585825595664826,-0.432096102670459,-0.804464467851994,-1.09835759059579,-0.889159686594449,0
"5",-0.581994887964069,-0.480064104981914,-0.365241649101903,-0.531296990833473,-0.365495859720621,-0.758976578811033,-1.01890055891459,-0.847828990946268,0
"6",-0.545079596981708,-0.430758915120996,-0.315204256783249,-0.488818619075395,-0.315351370807502,-0.722061287828671,-0.954283237368698,-0.813590963314258,0
"7",-0.498760145872561,-0.369339449857138,-0.212501321045636,-0.437047742017228,-0.215444899108594,-0.675741836719524,-0.872701794334268,-0.76969458662424,0
"8",-0.457204794069568,-0.314887245635756,-0.185322728652623,-0.382975162112241,-0.180368493273545,-0.634186484916532,-0.799426255111126,-0.72937025477636,0
"9",-0.414682329820195,-0.260058266184532,-0.0739775059662686,-0.333755435152547,-0.0733947573604805,-0.591664020667159,-0.724235693024078,-0.687116733924713,0
"10",-0.378581083367612,-0.214415277041807,-0.0579275472071031,-0.286038793967415,-0.0505945698195762,-0.555562774214575,-0.6612008170225,-0.650397698267743,0
"11",-0.341842106135684,-0.169010773721568,-0.00678295977617787,-0.255542606344297,-0.00875992919368334,-0.51882379698265,-0.596994531565174,-0.612167366921358,0
"12",-0.303988648213155,-0.12353190060664,0.0209971854481424,-0.202575975742011,0.0274752853811192,-0.480970339060119,-0.531685952589367,-0.571788042320123,0
"13",-0.26665228260038,-0.0801781571052877,0.0779630300824112,-0.162132238440459,0.0846253924689169,-0.443633973447345,-0.46820442230209,-0.530881827938149,0
"14",-0.235105579732459,-0.0448695510413575,0.157955545585665,-0.122414772747997,0.1690733293381,-0.412087270579424,-0.414498666099063,-0.495401162120004,0
"15",-0.201584910175323,-0.0088356171676379,0.156899125893645,-0.117153823531022,0.149960700883963,-0.378566601022288,-0.357706970249449,-0.456685624310355,0
"16",-0.17268099599168,0.0208852711533598,0.174533177299614,-0.0444876389605613,0.186332083544865,-0.349662686838643,-0.30935384033818,-0.422380549590766,0
"17",-0.140346464027136,0.0525120439720782,0.217918952610671,-0.0207252522840396,0.227395811810188,-0.3173281548741,-0.255692262985521,-0.38288748776011,0
