"","cpdp","xswcpdp","xcwcpdp","xcwccpdp","xswccpdp","pdp","ale","grid","NA"
"1",0.918401945192573,0.918614024454478,0.962144728643871,0.918417108548831,0.962154671916437,0.942068335929899,0.949997721405714,-0.999133840203285,0
"2",0.828989863587457,0.829192039170478,0.873801815465655,0.828993317798853,0.873802744114049,0.852656254324779,0.860549220317897,-0.962953110970557,0
"3",0.747820314082708,0.748013161094502,0.790449079038158,0.74782142944818,0.790450141094682,0.771486704820032,0.779874472403556,-0.929681871756911,0
"4",0.653711836256147,0.653893472682019,0.701828639401793,0.653756099496217,0.70184329069136,0.677378226993472,0.685004152468207,-0.89048547854647,0
"5",0.555015202831807,0.555184633100497,0.611088558052363,0.555020073790065,0.611091049153864,0.578681593569128,0.584507419624447,-0.848502157889306,0
"6",0.475770948414757,0.47593024799179,0.527482651870754,0.475774646439881,0.527485048943615,0.499437339152081,0.504113314945054,-0.814005983294919,0
"7",0.387637880812458,0.387785567098768,0.446682616598594,0.387638007070019,0.446682970489079,0.411304271549782,0.413994677975351,-0.774645029269159,0
"8",0.296924592632572,0.297059940393006,0.338193609807685,0.296925091512025,0.338193696424513,0.320590983369895,0.321205751924686,-0.732810370037332,0
"9",0.229029460187805,0.229155312500572,0.268590214411637,0.229042407309855,0.268589082787469,0.25269585092513,0.251949266869076,-0.700442983843386,0
"10",0.151356635076032,0.151471344238843,0.191486868045425,0.151370784475623,0.191492115803036,0.175023025813355,0.171360906563983,-0.662077016104013,0
"11",0.0850214223285335,0.0851263719926446,0.118368132760725,0.0850160928926168,0.118363722404725,0.108687813065857,0.10313710842471,-0.627958926092833,0
"12",0.00617211812333183,0.00626516734979558,0.0388449084521441,0.00617949946834152,0.0388460408380431,0.0298385088606556,0.0221518021997624,-0.585416630897671,0
"13",-0.0623981475829664,-0.0623157206558592,-0.0393578825323882,-0.0623998181612752,-0.0393576288570475,-0.0387317568456428,-0.04700960653251,-0.546243386883289,0
"14",-0.141764165519253,-0.141694363143741,-0.119839199203065,-0.141763816746434,-0.119839277358547,-0.118097774781929,-0.127729550589796,-0.49763584333472,0
"15",-0.206142177653497,-0.20608288778426,-0.194683832435636,-0.206145076121079,-0.194688930271078,-0.182475786916173,-0.193066998360215,-0.454818404167891,0
"16",-0.26255497897406,-0.262505113241002,-0.251620838376574,-0.262555615175252,-0.251621682517602,-0.238888588236737,-0.249709548344996,-0.413928407477215,0
"17",-0.318268039595901,-0.318227690984219,-0.302598573908198,-0.318273057028441,-0.302599196961094,-0.294601648858578,-0.306490889251388,-0.36929481074214,0
