"","cpdp","xsxcpdp","cxsxcpdp","pdp","ale","grid","NA"
"1",-1.08457239423518,-1.0914814814095,-1.74035053044337,-1.26155408508215,-1.79174169493026,-1.26367186856675,0
"2",-0.761559857500632,-0.768829306380652,-1.26166814410174,-0.938541548347595,-1.32482254393455,-1.00597254835817,0
"3",-0.685214211984647,-0.688216230664014,-1.12899952328278,-0.86219590283161,-1.19734839360096,-0.940332409482866,0
"4",-0.627482777005027,-0.630160635394694,-1.02980276612516,-0.804464467851994,-1.09835759059579,-0.889159686594449,0
"5",-0.581994887964069,-0.587252481462586,-0.947972598095597,-0.758976578811033,-1.01890055891459,-0.847828990946268,0
"6",-0.545079596981708,-0.547073125266358,-0.882362917727334,-0.722061287828671,-0.954283237368698,-0.813590963314258,0
"7",-0.498760145872561,-0.50064870843862,-0.802603379656821,-0.675741836719524,-0.872701794334268,-0.76969458662424,0
"8",-0.457204794069568,-0.458889919960218,-0.728838127383607,-0.634186484916532,-0.799426255111126,-0.72937025477636,0
"9",-0.414682329820195,-0.419548810316032,-0.656569036010852,-0.591664020667159,-0.724235693024078,-0.687116733924713,0
"10",-0.378581083367612,-0.380024309043896,-0.598450883375877,-0.555562774214575,-0.6612008170225,-0.650397698267743,0
"11",-0.341842106135684,-0.342748844439276,-0.536154147257303,-0.51882379698265,-0.596994531565174,-0.612167366921358,0
"12",-0.303988648213155,-0.305131041825947,-0.477383634879083,-0.480970339060119,-0.531685952589367,-0.571788042320123,0
"13",-0.26665228260038,-0.267737199536517,-0.418852303153077,-0.443633973447345,-0.46820442230209,-0.530881827938149,0
"14",-0.235105579732459,-0.236558492633964,-0.371206222458123,-0.412087270579424,-0.414498666099063,-0.495401162120004,0
"15",-0.201584910175323,-0.201996699371884,-0.31788844809905,-0.378566601022288,-0.357706970249449,-0.456685624310355,0
"16",-0.17268099599168,-0.173522633403632,-0.278919551192457,-0.349662686838643,-0.30935384033818,-0.422380549590766,0
"17",-0.140346464027136,-0.14065655248396,-0.23099559300386,-0.3173281548741,-0.255692262985521,-0.38288748776011,0
"18",-0.10741564603698,-0.10768390940704,-0.188314606966385,-0.284397336883944,-0.200826078969918,-0.341324565936749,0
"19",-0.0724049500372451,-0.0727720034737044,-0.134620874238352,-0.249386640884209,-0.143383572805605,-0.295475264613002,0
"20",-0.0435991499092477,-0.043778639557826,-0.100515043368311,-0.220580840756213,-0.0946970368530418,-0.256315863078313,0
"21",-0.01269586714113,-0.0127646297957449,-0.0679432311555855,-0.189677557988094,-0.0443683296270656,-0.212690761595256,0
"22",0.0138963980619386,0.0138428670045042,-0.0302190922036562,-0.163085292785025,-0.00108258975511655,-0.173662665732288,0
"23",0.0419661186399079,0.0419358236094522,0.00266811251217561,-0.135015572207056,0.0458007472924482,-0.130798285499069,0
"24",0.0663646526466649,0.0663369982779189,0.029875738087256,-0.110617038200299,0.0859525316341239,-0.0919926900795233,0
"25",0.0885324070537939,0.088516093053005,0.0537063530554263,-0.0884492837931703,0.123106295900022,-0.0553496280977568,0
"26",0.113086512722967,0.113065377331219,0.0804377465845143,-0.0638951781239972,0.163704103762805,-0.0130509078880057,0
"27",0.130840023386601,0.130791676577272,0.104173130130983,-0.0461416674603634,0.194071489269432,0.0187718810991689,0
"28",0.157742103311258,0.157713862184503,0.123485129178299,-0.0192395875357061,0.239690545889348,0.0692201290520506,0
"29",0.178045702044378,0.17791679517699,0.149139622106123,0.00106401119741384,0.274161715143819,0.109294220117008,0
"30",0.194708570100844,0.194603177458817,0.156567463499944,0.0177268792538796,0.303310574523102,0.143639679171895,0
"31",0.215879280593661,0.215544017694818,0.180438816156728,0.0388975897466968,0.340281026747812,0.189428782982534,0
"32",0.232046048840741,0.231898217811501,0.178425804950458,0.0550643579937767,0.368893343698204,0.226243834637933,0
"33",0.24809735052984,0.247814079795299,0.188162914989687,0.0711156596828755,0.396877967458225,0.264625526125799,0
"34",0.265220993319235,0.264432482936521,0.197789572762267,0.0882393024722711,0.427158660738718,0.307911421109179,0
"35",0.281141211758688,0.280846297821511,0.199334957924701,0.104159520911724,0.4554891495525,0.350732691966289,0
"36",0.297609840822852,0.297129885365204,0.207161762298483,0.120628149975888,0.48540814127158,0.398236493684371,0
"37",0.310346199315984,0.309640659534576,0.200100313972715,0.13336450846902,0.508811158053104,0.437763927773586,0
"38",0.321448636283722,0.321118274027972,0.196838024532193,0.144466945436757,0.529301115576276,0.474729755674368,0
"39",0.333580091569414,0.332853321188074,0.201248275807964,0.15659840072245,0.552123636583915,0.518570925377885,0
"40",0.344932929974994,0.34447295884132,0.176928622775678,0.167951239128031,0.574071473393448,0.564011231946838,0
"41",0.355187922355027,0.35377167167488,0.173248860397887,0.178206231508063,0.594957560245068,0.610371324100708,0
"42",0.361618080874667,0.361027939738312,0.165898557616298,0.184636390027703,0.608553558715951,0.643247083777145,0
"43",0.368757477745401,0.367565889613342,0.148623715810347,0.191775786898437,0.624784093477238,0.685105407099758,0
"44",0.374961972013135,0.37420780645192,0.124450751682286,0.197980281166171,0.640222883185717,0.729171235799364,0
"45",0.379200691247046,0.378516581070396,0.110473711566873,0.202219000400083,0.652502870413352,0.767207565398112,0
"46",0.382244400844961,0.381510189208955,0.101992677090761,0.205262709997997,0.663218524749262,0.803349904576886,0
"47",0.384594227202301,0.383042970053759,0.0782896467905443,0.207612536355337,0.674730007887621,0.846404392529539,0
"48",0.385547330286432,0.384875153973468,0.054459041382559,0.208565639439468,0.685346913833381,0.891053615206467,0
"49",0.384876492029873,0.383382383130036,0.0502074727633341,0.207894801182909,0.695346292752176,0.939222626691478,0
"50",0.380949465376966,0.37966043327921,0.0214821010611613,0.203967774530001,0.706801530131969,1.00741964198939,0
"51",0.340025547848328,0.338875327501067,0.00238471804488815,0.163043857001365,0.701928147261304,1.25553203556911,0
"52",-1.04158353966199,-1.05321101292545,-1.96873107940439,-1.12072225470508,-1.80334631104868,-1.26871700533072,0
"53",-0.760877143565929,-0.765726336177048,-1.46339595059234,-0.840015858609015,-1.32073780932562,-0.999404595620205,0
"54",-0.699742120241898,-0.702933462323908,-1.33418539606563,-0.778880835284984,-1.20177370793142,-0.936887107831611,0
"55",-0.656335142871274,-0.659891815585934,-1.23712329133285,-0.735473857914358,-1.11646139090518,-0.8916542805183,0
"56",-0.610699796434615,-0.613759672246169,-1.14079568011267,-0.689838511477701,-1.0252800708367,-0.843371118269626,0
"57",-0.579957418694243,-0.582685187329264,-1.07071500652244,-0.659096133737329,-0.964032122897108,-0.810442082776373,0
"58",-0.538683635271126,-0.542374115788034,-0.980910575181151,-0.617822350314212,-0.881845341538602,-0.765748617080612,0
"59",-0.503039033521579,-0.504929104337348,-0.903557391149462,-0.582177748564666,-0.811781800674914,-0.726727922061493,0
"60",-0.465856769402815,-0.469248312861571,-0.826029555621929,-0.544995484445902,-0.740798447021521,-0.685630528203788,0
"61",-0.427967151620548,-0.431435703683771,-0.751032326637304,-0.507105866663631,-0.668500024345011,-0.64335991518363,0
"62",-0.39000285797275,-0.391223990859999,-0.677470904874684,-0.469141573015835,-0.598267222340887,-0.600627008027291,0
"63",-0.359337495347224,-0.361953958910566,-0.616391388937411,-0.438476210390309,-0.541974370704873,-0.565839669173584,0
"64",-0.323174300723267,-0.324011849899768,-0.550289700391055,-0.402313015766352,-0.476774939980217,-0.524505630747059,0
"65",-0.294350275145169,-0.295401571009764,-0.499418535894821,-0.373488990188254,-0.426522807254164,-0.491314524858847,0
"66",-0.258693216438891,-0.259993251820691,-0.437867112732946,-0.337831931481977,-0.364607640386444,-0.449938304287636,0
"67",-0.221314827261515,-0.22180028691853,-0.376406295151878,-0.3004535423046,-0.300946779097315,-0.406158584166493,0
"68",-0.186668803553757,-0.187176005087382,-0.322120024003414,-0.265807518596842,-0.244462826609523,-0.36516714685202,0
"69",-0.157164708920433,-0.157719113559687,-0.278388301049552,-0.236303423963519,-0.197500881421065,-0.329908427107905,0
