"","cpdp","xswcpdp","xcwcpdp","xcwccpdp","xswccpdp","pdp","ale","grid","NA"
"1",-1.00855721000748,-1.00855623208855,-1.00807294323428,-1.00855740768013,-1.00807362935621,-0.734647487321972,-1.00869541712185,-0.999522206839174,0
"2",-0.968196268853102,-0.968195298539241,-0.96953960063059,-0.968187495063614,-0.96953577695302,-0.694286546167598,-0.968371381508086,-0.959082946917042,0
"3",-0.932989156144484,-0.932988196212132,-0.93342696731031,-0.932993943337539,-0.933430863189309,-0.659079433458979,-0.933140105860384,-0.923842648845166,0
"4",-0.890140939228411,-0.890139996430372,-0.889953336700149,-0.890141047169472,-0.889953353410627,-0.616231216542907,-0.890191027721655,-0.880995602970943,0
"5",-0.845744395579311,-0.845743475470901,-0.84408293065263,-0.845766600894805,-0.844104816667788,-0.571834672893805,-0.845894206092649,-0.836645287163556,0
"6",-0.807216335491553,-0.807215438893611,-0.807197710685132,-0.807214871280528,-0.807195972332649,-0.533306612806048,-0.807392664002694,-0.798191840294749,0
"7",-0.769280768416717,-0.769279898200057,-0.768901949562865,-0.769265702087591,-0.768896125194057,-0.495371045731213,-0.769464774182558,-0.760358765423298,0
"8",-0.733463755373249,-0.733462912795604,-0.732074563366734,-0.733463527512842,-0.732074215407828,-0.459554032687743,-0.733690883460323,-0.724663019552827,0
"9",-0.701861813105947,-0.701860996947589,-0.701800086464148,-0.701864055477602,-0.701801053045179,-0.427952090420441,-0.70211926820907,-0.693186371773481,0
"10",-0.662240685922155,-0.662239905339652,-0.660903826204274,-0.662240452265714,-0.660903686373704,-0.388330963236649,-0.662499357493692,-0.653744608489797,0
"11",-0.62332994109683,-0.623329197827918,-0.621725837802001,-0.623330046490396,-0.621726019492948,-0.349420218411324,-0.623757713322086,-0.615031952876598,0
"12",-0.577676193596912,-0.577675496691716,-0.578931372251975,-0.57767535908679,-0.578932405556218,-0.303766470911406,-0.578093588070481,-0.56963524681516,0
"13",-0.526740026209615,-0.52673938371743,-0.52703230892713,-0.526755885144217,-0.52703871808437,-0.25283030352411,-0.527191166302037,-0.519012950137258,0
"14",-0.481952293320022,-0.481951700434537,-0.481544833438491,-0.481953119226601,-0.481545370341051,-0.208042570634516,-0.482400149009709,-0.474520914591849,0
"15",-0.444241350793925,-0.444240800543451,-0.444779388782875,-0.444239764655971,-0.444777365033846,-0.17033162810842,-0.444613985037094,-0.43707059495151,0
"16",-0.40717227140809,-0.407171763498058,-0.405145373728371,-0.407172435782499,-0.405145575651074,-0.133262548722585,-0.407593069218968,-0.400265964400023,0
"17",-0.366790132574725,-0.36678967089304,-0.366682129945601,-0.366789526858759,-0.366681815247388,-0.0928804098892196,-0.367192068537945,-0.36017893621698,0
"18",-0.326524274547655,-0.326523858650249,-0.327543350598342,-0.326523933398946,-0.327543033599635,-0.0526145518621502,-0.326968694708188,-0.320212203068659,0
"19",-0.280894912299578,-0.280894547350606,-0.279745611996216,-0.280894934226857,-0.27974562203694,-0.00698518961407273,-0.281219443468816,-0.274924537036568,0
"20",-0.23414600745027,-0.234145693001758,-0.234165846698928,-0.234146311043864,-0.234166114759356,0.0397637152352358,-0.234376547510784,-0.228525083474815,0
"21",-0.197621085326609,-0.197620808666106,-0.197657044583298,-0.197593467444362,-0.197607530328302,0.0762886373588968,-0.19792513598866,-0.192270259745419,0
"22",-0.152089326423079,-0.152089094221466,-0.15212053720242,-0.152091316131444,-0.152122844266879,0.121820396262426,-0.152522629776532,-0.147068557664752,0
"23",-0.110772129422693,-0.110771934453808,-0.109671476841423,-0.110772730096769,-0.109671679539807,0.163137593262811,-0.111240848078667,-0.106041676532477,0
"24",-0.0712441256877817,-0.0712439630345159,-0.0711657855746783,-0.071249887382423,-0.0711749467960146,0.202665596997723,-0.0717643544324591,-0.0667806700803339,0
"25",-0.0316188765091403,-0.0316187424917371,-0.0318189362791193,-0.0316273985365377,-0.0318272364798378,0.242290846176365,-0.0321582473451276,-0.0274101257883012,0
"26",0.00599955530402251,0.00599966609559514,0.00677886659844945,0.00599874791656691,0.0067781161493338,0.279909277989529,0.00551598675678022,0.0099806587677449,0
"27",0.0478152351157699,0.0478153251892259,0.0474056677473233,0.0478150870955969,0.0474049711727493,0.321724957801275,0.0474118358450843,0.0515620020404458,0
"28",0.0856325836461679,0.085632660132256,0.0857937386777688,0.0856316674579317,0.0857943786190465,0.359542306331674,0.0853012037640568,0.0891866481024772,0
"29",0.126337177541144,0.126337245458877,0.127410565543971,0.126336407155841,0.127409912612021,0.400246900226649,0.1260052010634,0.129706710241735,0
"30",0.160437619381966,0.160437685409254,0.160040267552927,0.160434861026302,0.160037483817765,0.434347342067471,0.160000691814618,0.163672681841999,0
"31",0.210213375606688,0.21021344837618,0.209988140987051,0.210209667324661,0.20998504744977,0.484123098292195,0.209748452095982,0.213288474734873,0
"32",0.254726063494318,0.254726152750353,0.255263362625664,0.254723382389411,0.255258960652325,0.528635786179824,0.254189083285465,0.257698160130531,0
"33",0.295345418738389,0.295345532463182,0.295489296550003,0.295357187409799,0.295500725986151,0.569255141423895,0.294874154825373,0.298259604200721,0
"34",0.338276754436903,0.338276904620558,0.337752409680179,0.338280495839402,0.337751541634697,0.612186477122408,0.337860529480155,0.34117023027502,0
"35",0.374589499121581,0.374589689280304,0.374801165370454,0.37456554619111,0.374775433805125,0.648499221807085,0.374142594398889,0.377500276435167,0
"36",0.417095937542494,0.417096185905904,0.417660659067727,0.417096648512309,0.417661268381067,0.691005660228,0.416757176653888,0.420070292847231,0
"37",0.453368636290751,0.45336894469656,0.453435160640375,0.453367188064526,0.453435504812829,0.727278358976254,0.452989960602931,0.456436473000794,0
"38",0.491250268350334,0.491250650315331,0.49207341480498,0.491240070009845,0.492060269717161,0.76515999103584,0.49109571006746,0.494456591065973,0
"39",0.529514158717568,0.529514626914508,0.529802188054352,0.529501745974418,0.529773910662638,0.803423881403072,0.529553230902957,0.532905070427805,0
"40",0.5695972481687,0.569597820326162,0.570105070002476,0.569596591671143,0.570104145232567,0.843506970854203,0.569560844084496,0.573232341678813,0
"41",0.608039673491198,0.608040359217903,0.607446781325475,0.608042465027955,0.607447853822072,0.881949396176703,0.608053171383044,0.61196038518101,0
"42",0.643974938329113,0.643975743172979,0.644276540708124,0.643976484160287,0.644276660836058,0.917884661014617,0.64400936329767,0.648210457758978,0
"43",0.67857285397497,0.678573785936427,0.680821856181978,0.678557214321347,0.680808997726107,0.952482576660473,0.678702044129133,0.683157139997929,0
"44",0.724172248075969,0.724173367200299,0.723856827478551,0.724177909549496,0.723863030500429,0.998081970761476,0.724348604580179,0.729287930708379,0
"45",0.76842377255046,0.768425095828563,0.770228700236079,0.768414757335493,0.770211344895119,1.04233349523596,0.768716339193594,0.774137037210166,0
"46",0.806968215906737,0.806969736096054,0.807599295309598,0.806968162595057,0.807595185891671,1.08087793859224,0.807466523399629,0.813271030131728,0
