"","cpdp","xswcpdp","xswccpdp","xcwcpdp","xcwccpdp","pdp","ale","grid","NA"
"1",0.943525543685233,0.943589798467195,1.01349284969455,0.943466029397647,1.01341242387641,0.965718528128534,0.972180604153323,-0.999133840203285,0
"2",0.847807723705965,0.847865644936154,0.898902093295599,0.847824971565182,0.898921204017016,0.870000708149267,0.876391251884094,-0.962953110970557,0
"3",0.760993808434204,0.76104596754392,0.784106722243341,0.761007128996114,0.784127459885303,0.783186792877504,0.78982409487014,-0.929681871756911,0
"4",0.66058333835382,0.660628801475569,0.665692973953856,0.660280840879785,0.665421775228795,0.682776322797121,0.687601854683449,-0.89048547854647,0
"5",0.555730882972535,0.555769304941373,0.555241662760711,0.555752960404595,0.555271163156745,0.577923867415833,0.581186859072275,-0.848502157889306,0
"6",0.472006255860092,0.472039008858663,0.437775900901469,0.472042238488035,0.437842566439597,0.494199240303391,0.496872538225547,-0.814005983294919,0
"7",0.379499556826572,0.379525985229669,0.448285081237233,0.379520138148348,0.448316888634822,0.401692541269871,0.402565677272606,-0.774645029269159,0
"8",0.285083650017269,0.285103540968122,0.231338900668795,0.285124171930836,0.231372816751387,0.307276634460569,0.305689370353047,-0.732810370037332,0
"9",0.215025268982952,0.215040243232327,0.153639433195067,0.21522887574735,0.15377024916294,0.237218253426254,0.235552317157982,-0.700442983843386,0
"10",0.135588542027979,0.135597859766261,0.130171247018437,0.135309333416292,0.129909902790261,0.157781526471279,0.154812285938565,-0.662077016104013,0
"11",0.0683973415669135,0.0684017953604004,0.0261530350059423,0.0680418350228724,0.0258132482783119,0.0905903260102139,0.0866036745559141,-0.627958926092833,0
"12",-0.0106351301643452,-0.010636506711221,0.111312044852007,-0.0104086154301128,0.111554433996754,0.0115578542789552,0.00629124511201962,-0.585416630897671,0
"13",-0.0785902700955064,-0.0785967688952786,-0.120310797299363,-0.078610209268275,-0.120329196379577,-0.0563972856522062,-0.0618899125410597,-0.546243386883289,0
"14",-0.156312875528475,-0.156325376007345,-0.0887707925835193,-0.156283124751428,-0.0887441475930641,-0.134119891085175,-0.140537901695739,-0.49763584333472,0
"15",-0.218614849595415,-0.218632287017236,-0.289582461472363,-0.218614516465821,-0.289584187463244,-0.196421865152116,-0.20362160398094,-0.454818404167891,0
"16",-0.27266900254402,-0.272690826409811,-0.363497999108631,-0.272676580462092,-0.363495933413216,-0.25047601810072,-0.256956179746621,-0.413928407477215,0
"17",-0.325580629329928,-0.325606851397652,-0.326210122848121,-0.325638100976785,-0.326214957996386,-0.303387644886627,-0.310218485308928,-0.36929481074214,0
"18",-0.368042784071636,-0.368072620158405,-0.285424913347695,-0.368010871834481,-0.285391068498354,-0.345849799628337,-0.353116789180943,-0.328850879054516,0
"19",-0.399450122477229,-0.399482686646672,-0.426898791049005,-0.3994434672105,-0.426870680162069,-0.377257138033928,-0.384529855105111,-0.295164198391139,0
"20",-0.434746785576518,-0.434782480461049,-0.549550553318148,-0.434704152990706,-0.549449369779563,-0.412553801133218,-0.420588985720276,-0.251627892078832,0
"21",-0.461881771804593,-0.461919929816254,-0.43976967034644,-0.462087936039523,-0.440125961258221,-0.439688787361292,-0.4477313907538,-0.21175528941676,0
"22",-0.481212524937405,-0.481252476169974,-0.356996930875761,-0.480836087998317,-0.356773868487713,-0.459019540494105,-0.467226102384848,-0.177608139934018,0
"23",-0.499983588420205,-0.500025324642991,-0.63654314420596,-0.49986607993205,-0.636412966200804,-0.477790603976907,-0.486429001882972,-0.135888394378126,0
"24",-0.513805415167653,-0.513848513471856,-0.499307321830586,-0.513459272360404,-0.499071802594161,-0.491612430724352,-0.500209281165844,-0.0928882206510753,0
"25",-0.521537562754257,-0.521581468672566,-0.49547477557846,-0.521467992919927,-0.495386131823398,-0.499344578310957,-0.508074190998184,-0.0538642229698598,0
"26",-0.524808326632453,-0.524852645530793,-0.591740965924877,-0.524808180458978,-0.59173173849907,-0.502615342189153,-0.511781382452789,-0.00956879579462111,0
"27",-0.52196413715271,-0.522008301364202,-0.495099815774465,-0.521574210439679,-0.494840781535477,-0.499771152709411,-0.509345445115444,0.0370483550615609,0
"28",-0.512919875755405,-0.51296328891059,-0.589509655958446,-0.512860263019149,-0.589427763424304,-0.490726891312104,-0.500665207603471,0.0828238922264427,0
"29",-0.500077383996439,-0.50011965788211,-0.464865057064877,-0.50007382917465,-0.464862584518651,-0.477884399553138,-0.487402216230635,0.12249002514407,0
"30",-0.483065779250679,-0.483106498185548,-0.590610692651611,-0.483048515600245,-0.590588489796814,-0.460872794807379,-0.469694845301591,0.161182771977037,0
"31",-0.463977425621836,-0.46401636766554,-0.326935832495815,-0.464008854589094,-0.326967814958294,-0.441784441178537,-0.450129237944012,0.195972962398082,0
"32",-0.44085307420552,-0.440889836294813,-0.384269913317649,-0.440871653350687,-0.38429730821909,-0.418660089762218,-0.426741374657557,0.231372938668355,0
"33",-0.41013167017724,-0.410165506811387,-0.28116575490229,-0.410108465182714,-0.281130362503258,-0.38793868573394,-0.395270664088818,0.271465548593551,0
"34",-0.377193712248994,-0.377224389038487,-0.330830358189836,-0.377168840714936,-0.330777918704505,-0.355000727805694,-0.36231454840528,0.308776409411803,0
"35",-0.343139817463233,-0.343167212373987,-0.457313314486425,-0.343189071855777,-0.457363089685923,-0.320946833019933,-0.327482526773918,0.343130267560482,0
"36",-0.288477288858266,-0.288499402009628,-0.286582406500018,-0.288463193897045,-0.286559836588605,-0.266284304414965,-0.271664156226266,0.392029346525669,0
"37",-0.243524091766871,-0.243541861920716,-0.352456101970521,-0.243824444003839,-0.352562176081315,-0.221331107323571,-0.226073388382718,0.428067936487496,0
"38",-0.189483293367134,-0.189495857391802,-0.189273088493379,-0.189681018773708,-0.18943224144074,-0.167290308923834,-0.171794244900869,0.46772429484874,0
"39",-0.130908162675197,-0.130915116475166,-0.222431114115057,-0.130902433644424,-0.222420043611844,-0.108715178231897,-0.112248271327752,0.50722632875666,0
"40",-0.064968544166457,-0.0649692403379655,-0.150151680406974,-0.0649549214435701,-0.150131552756025,-0.0427755597231567,-0.0457361673610637,0.548336972091347,0
"41",-0.00194113438015781,-0.00193592216868917,0.00605159791340462,-0.00193674662316036,0.00605773770611395,0.0202518500631426,0.0176877396027955,0.585002951696515,0
"42",0.0799395380894866,0.0799522973741844,0.191800881948804,0.0799712823241009,0.191820239238218,0.102132522532787,0.100819948707198,0.629596142061055,0
"43",0.161837563151074,0.161857701683016,0.238827651848474,0.161883879847274,0.23888602420573,0.184030547594374,0.184058405736839,0.67145371183753,0
