"","cpdp","xswcpdp","xcwcpdp","xcwccpdp","xswccpdp","pdp","ale","grid","NA"
"1",-0.792254717176206,-0.794622871107231,-1.20197721357569,-0.792792846334384,-1.20197717801189,-0.962922175580887,-1.35850436242457,-0.999522206839174,0
"2",-0.743814579687282,-0.74597785631208,-1.12907470385098,-0.744629416454135,-1.12907497643802,-0.914482038091963,-1.27468322287079,-0.959082946917042,0
"3",-0.702377933548383,-0.704368616550026,-1.06391295220228,-0.703705784281407,-1.06391278148199,-0.873045391953066,-1.20215699612393,-0.923842648845166,0
"4",-0.65301130867652,-0.654800349942395,-0.984933174505939,-0.653279559735408,-0.984933165049765,-0.823678767081201,-1.11548028607341,-0.880995602970943,0
"5",-0.603129144425744,-0.60471974081436,-0.90760586341488,-0.604704852568531,-0.907607363186453,-0.773796602830427,-1.02728748783262,-0.836645287163556,0
"6",-0.560914010826857,-0.56234157139303,-0.84128028925196,-0.561126924863875,-0.841280426835745,-0.731581469231537,-0.952270928899046,-0.798191840294749,0
"7",-0.520342524723771,-0.521618263201208,-0.77533423483403,-0.520669040143077,-0.775334216124142,-0.691009983128453,-0.879937913570984,-0.760358765423298,0
"8",-0.482955918426939,-0.484096486107833,-0.715128129174139,-0.483052085682717,-0.715128155069568,-0.653623376831621,-0.813603599743183,-0.724663019552827,0
"9",-0.450718244791306,-0.4517462755568,-0.667065289033604,-0.451448817388038,-0.667064856488301,-0.621385703195988,-0.756502825325775,-0.693186371773481,0
"10",-0.411299584203671,-0.412195546884858,-0.606600769384907,-0.411394340713078,-0.60660074862973,-0.581967042608352,-0.686973114711226,-0.653744608489797,0
"11",-0.373674449007226,-0.374450545265392,-0.545455882811358,-0.373719303070743,-0.545455882839458,-0.544341907411908,-0.620740221156689,-0.615031952876598,0
"12",-0.330903025900391,-0.331550894520027,-0.47820526585502,-0.330940105505326,-0.478205267584781,-0.501570484305073,-0.545652086375872,-0.56963524681516,0
"13",-0.284926580890096,-0.285447040892058,-0.412548779500992,-0.285314450773303,-0.412548916268525,-0.455594039294778,-0.465223248829703,-0.519012950137258,0
"14",-0.24600599369099,-0.246427802550636,-0.354719840973323,-0.246039553227883,-0.354719979816991,-0.41667345209567,-0.397083396075039,-0.474520914591849,0
"15",-0.214314323682057,-0.214662525135865,-0.309415523282026,-0.214323692779015,-0.309415634425468,-0.384981782086737,-0.342166363119931,-0.43707059495151,0
"16",-0.184109616569013,-0.184393641481733,-0.26827924186247,-0.184132321131305,-0.268279183240937,-0.354777074973694,-0.290206465874237,-0.400265964400023,0
"17",-0.152256547683582,-0.152479578394054,-0.224921440193075,-0.152287956564348,-0.224921497359112,-0.322924006088263,-0.235492011456855,-0.36017893621698,0
"18",-0.121565238151649,-0.121736347143951,-0.180876099912307,-0.121608374252488,-0.180876220736355,-0.29223269655633,-0.183101298976944,-0.320212203068659,0
"19",-0.0880468776448763,-0.0881693785131315,-0.147522403402177,-0.0880496872699166,-0.147522410240269,-0.258714336049558,-0.126593080882052,-0.274924537036568,0
"20",-0.0550579752929512,-0.055141321324861,-0.0973142301134965,-0.0550612379154981,-0.0973142221680859,-0.225725433697632,-0.0710019295048117,-0.228525083474815,0
"21",-0.0302087630889531,-0.0302685677579661,-0.0751455748429992,-0.0302612767904787,-0.075146689114221,-0.200876221493635,-0.0295674656895539,-0.192270259745419,0
