"","eff1_kw","eff1_gp","eff2_kw","eff2_gp","eff3_gamma","eff4_gamma"
"x1",1.95583459548652,1.95583459548652,1.95583459548652,1.95583459548652,0.11019925121218,0.11019925121218
"x2",1.95583459548652,1.95583459548652,1.95583459548652,1.95583459548652,0.11019925121218,0.11019925121218
"x3",1.95583459548652,1.95583459548652,1.95583459548652,1.95583459548652,0.11019925121218,0.11019925121218
"x4",1.95583459548652,1.95583459548652,1.95583459548652,1.95583459548652,0.11019925121218,0.11019925121218
"x5",1.95583459548652,1.95583459548652,1.95583459548652,1.95583459548652,0.11019925121218,0.11019925121218
