,effect1_kw,effect1_gp,effect2_kw,effect2_gp,effect3_gamma,effect4_gamma
x1,10,1,10,10,0.312641733,20
x2,10,10,10,10,0.141076203,0.021585207
x3,0.052861021,0.009531396,0.213720668,0.602770504,20,13.55850824
