,eff1_kw,eff1_gp,eff2_kw,eff2_gp,eff3_gamma,eff4_gamma
x1,10,10,10,10,0.110199251,0.110199251
x2,10,10,10,10,0.110199251,0.110199251
x3,10,10,10,10,0.110199251,0.110199251
x4,10,10,10,10,0.110199251,0.110199251
x5,10,10,10,10,0.110199251,0.110199251
